"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
RRT,Resource Request Tracking,"Used by people at all levels of BC Wildfire Service (including people temporarily working in BCWS from other organizations during fire season) to request resources, monitor status of requests, and respond to requests.

List of incidents is copied out of Fire Chart via FME script every 5 minutes.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
RSTTRKR,Recreation Sites and Trails BC Budget Tracker,"This is a Budget tracker used by Rec Sites and Trails written in MS Access, with a small MS Access back-end database hosted on appfiles.bcgov.  Production is hosted on two or more redundant load-balanced Citrix servers.  The budget tracker is relate to the maintenance and development of trials found on the same business area`s Recreation Sites and Trails BC Web Site (REST) application.",,Ministry of Environment and Climate Change Strategy,UNKNOWN,UNKNOWN,UNKNOWN,STD
RSVS,Recreation Sites Visitor Statistics,"RSVS will allow the Recreation Sites and Trails Branch to collect, analyze, and report on the number of visitors camping in recreation sites throughout the province. This information will help with both infrastructure management and emergency resource management when responding to wildfires, flooding, etc.",,Ministry of Environment and Climate Change Strategy,Conservation and Recreation,Recreation Sites and Trails BC,N/A,STD
RTM,Revenue Table Management,Revenue Table Management migrated from VM.,https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=910d9e31fb4240f7abae247c3c66fc1f,Ministry of Forests,"Timber, Range and Economics Division",Economics and Trade Branch,N/A,STD
SADMS,Stem Analysis Database Management System,"It is a dataset developed in Microsoft Access to support Forest Analysis and Inventory Branch business operations to store, update, search and report on Stem Analysis Database. 

The SADMS database contains stem analysis data for site trees. These data are used to develop site index models and growth intercept models. The data also contribute to the SIBEC project.

 There is an Excel file that can be used as a template for inputting data into the SADMS database. There is some Documentation in MS Word file mainly for users.

Corporate shares for SADM TEST and PROD dataset have been created as follow:

TEST: \\test-appfiles.bcgov\SADMS_TEST
PROD: \\appfiles.bcgov\SADMS_PROD

You can map these corporate shares TEST and PROD on your computer, just like mapping a network drive.

 

The following security group have also been created to manage the read only and Update Permissions of the SADM users

 TEST: FLNR_AP_SADMS_TEST_R   - read level access in TEST corporate share
TEST: FLNR_AP_SADMS_TEST_C  - update level access in TEST corporate share

PROD: FLNR_AP_SADMS_PROD_R   - read level access in PRODUCTION corporate share
PROD: FLNR_AP_SADMS_PROD_C   -  update level access in PRODUCTION corporate share

Replaced by TASS / or TIPSY",,Ministry of Forests,Office of the Chief Forester,Forest Analysis and Inventory Branch,N/A,DS
SAR,Species At Risk,"Knowledge Management branch are looking to undertake development of a Species at Risk solution.
TO what extent is overlaps with the SEISM capital project is unknown at this time.

2021-12-01 - SAR was a placeholder and there is no such thing as a SAR app or project. At one time a few years ago, it was identified as a potential (placeholder) project in anticipation of new provincial Species at Risk legislation. It did not proceed and there is no longer a plan to pursue it. ",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,GeoBC and NR Sector Data Services,UNKNOWN,STD
SAS,Statistical Analysis System,"SAS is a software suite developed by SAS Institute for advanced analytics, business intelligence, data management, and predictive analytics. It is the largest market-share holder for advanced analytics.

It by the Ministry Environment to analize air and water data.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",STD
SCDB,Secure Credentials Database,"The Secure Credentials Database holds Application credentials for host accounts, database accounts, FTP accounts and other services requiring authentication.  It holds no information on human users.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
SCS,Scale Control System Administrator,"Scale Control System migrated from VM and re-written by OA Solutions. Salus Systems maintenance contractor.

The Ministry of Forests and Range built the Scale Administration and Control System (SCS) to support the ministry`s administrative and data control requirements for scale sites, scalers, and mark/site designations.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=109ffffb1e734580baf8e67da0b243f3,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,STD
SDK,Software Deployment Kit,SDK,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,UNKNOWN,UNKNOWN,LW
SDL,Spatial Data Library,[ If this field is blank IRS will crash ],,Ministry of Citizens Services,Digital Platforms and Data Division,Data Systems and Services,Data and Services - DataBC,STD
SDR,Spatial Data Replicator System,"SDR is now only a wrapper overtop of materialized views to replicated primarily forestry data to the BCGW, e.g, FTEN, RRS, FNIRS. What is left sits in the the BCGW itself and the web component has been turned off.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=443b28aa3328443889e98ce4ae52ff65,Ministry of Citizens Services,Digital Platforms and Data Division,Data Systems and Services,Data and Services - DataBC,STD
SEA,Slope Elevation Aspect,"This application is a subcomponent of RESULTS application. RESULTSVC calls SEA to calculate the slope, elevation and aspect of a geometry supplied in a RESULTS submission through ESF. 
The Slope Elevation and Aspect( SEA )Web Service calculates the slope, elevation and aspect of an area of interest. 

Solution Purpose:
Data is generated upon opening submissions to RESULTS and data stored in the oracle database but not displayed in the application. The data is available through the BCGW and is also used in Jasper reports.",,Ministry of Forests,Office of the Chief Forester,"Forest Science, Planning and Practices Branch",N/A,STD
SED Editor,Standard Edit Data Editor ,"Forest Analysis and Inventory Branch has a Growth and Yield desktop application called the SED Editor (Standard Edit Data Editor) that accesses the GYS oracle database - DBP07 to download Permanent Sample Data (PSP) for re-measurement.

Standard Edit Data Editor (SEDEditor) a component of GYS needs the old static instance of Oracle 11g database present on DBP07 Server name - HARDWARE to be available in READ WRITE access mode.

Please remember that this database (DBP07 on Hardware) is an old image of DBP07, prior to it being moved to ExaData in Feb.2017.
 The true source image of DBP07, is Oracle 12c running on Exadata.
 This pre-upgrade image of DBP07, is Oracle 11g running on Hardware.
 The old image is used by the client Visual Basic utility (SED Editor) that is unable to connect to Oracle 12c can still function while a solution/rewrite/replacement is found. 

Unfortunately, the database must be made read/write for the SED Editor utility to function, as it likely writes temporary data.

As discussed in meetings, the client has full knowledge that this old copy of DBP07 is not the official DBP07.

 They are also aware that if they mess up the data, it cannot be recovered.
 This is supposed to be a temporary work around until the client software is fixed/upgraded/re-written.

Solution purpose:
Extract data from the GYS database. Used for remeasurments of growth and yield plot, to refine the projection models (TASS, TIPSY, VDYP)

Replaced by ISMC to be kept till March 2021",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,LW
SEEDMAP,Ministry of Forests SeedMap,"[LOB Data]Seed Map - SeedMap is a web-based mapping and reporting tool available to clients involved in Gene Resource Management (GRM). GRM covers a broad range of planning and land based forest management activities, including:
Seed Planning - Species plans, seed needs analyses, seed collection
Reforestation - Seed registration, seedling request orders
Compliance & Enforcement -
Seed use
Timber Supply Analyses - Incorporation of genetic gain
Gene Conservation - Provenance mapping, in-situ & ex-situ gene resource management
Effectiveness Evaluation & Monitoring - Timber Value
Criteria & Indicator Reporting - Genetic Diversity, Gene Conservation and Forest Productivity 

UPDATE MARCH 2021: Seedmap has been replaced by the new CWM SeedMap that is used with SPAR or independently to view map layers and query the associated data. App Admin confirmed app can be retired.
SeedMap is an old IMF application and requires Microsoft Silverlight and an older browser (IE11).  Microsoft Silverlight will reach the end of support on October 12, 2021. Silverlight development framework is currently only supported on Internet Explorer 10 and Internet Explorer 11, with support for Internet Explorer 10 ending on January 31, 2020. There is no longer support for Chrome, Firefox, or any browser using the Mac operating system.",,Ministry of Forests,Office of the Chief Forester,Forest Improvement and Research Management Branch,N/A,STD
SGW,Secure Gateway,For BCeMap,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Decision Support Section,STD
SHORT_FDW,FDW Data Queries - RETIRED,"[INAP DATA]An Internet application to Deliver data from FDW to Inventory contractors, other professionals, universities and the public.  The resultant tables can be saved on the user`s PC and the data can be manipulated on the user`s PC.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Sustainability and Strategic Policy, Ecosystems Branch, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SHZN,ShoreZone,"Coastal Resource Information Mapping System (CRIMS) for SHZN The systematic recording of shore morphology, shore-zone substrate and wave exposure characteristics. The system involves the subdivision of the shore zone into alongshore units and across-shore components based on geomorphological parameters. The boundaries for units and components in the physical system are used to define boundaries for species assemblages (bands) in the biological system.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=f383ac86ac4e4d5a9525c62eac80b54a,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,DS
SIA,Security Inbox Automation,"SIA assists the Information Security team in automating routine mailbox activities.  Examples of this are vulnerability notifications, and termination reports.
SIA automates the processing of these tasks and drafts/tracks responses.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services","Privacy, Information Management & Security",LW
SIBEC,Site Index Biogeoclimatic Ecosystem Classification Reporting,"This application will allow users to perform on line queries of the SIBEC database by selecting a set of context sensitive parameters. Users are also given the option of downloading an Excel spreadsheet containing the data returned from their queries.

Beginning in 1994, extensive work was undertaken to create a database that would contain ecological and Tree Site Index (SI) data from the BC Ministry of Forests (MOF) Permanent Sample Plot (PSP) program and Ecology program as well as numerous special studies by industry, government and universities.  During 1995/1996 the provincial SIBEC Data Warehouse (DW) was compiled which now contains most available high quality data where both site index and site identification are available for sample.  This provincial database was used to develop a first approximation of the relationships between site index and site units of the Biogeoclimatic Ecosystem Classification (BEC) system.  A report of this first approximation of data called the Site Index Estimates by Site Series for Coniferous Tree Species in British Columbia was published in 1997. In July 2001, a business analysis was completed by OA Solutions Inc.  High-level business requirements were developed.  Starting in September 2001, the project entered the design and build phase.  During this phase, an electronic software application was developed to move the data from the current provincial SIBEC DW to a new SIBEC Reporting Data Mart (RDM). The new SIBEC RDM is used for the analysis and reporting of key site index estimate. ). The new SIBEC RDM is the central source of information used for the analysis and reporting of key site index estimate.

This SIBEC tool has close connections with other standalone applications and datasets (VPRO and VENUS).  Currently the application is without a business owner. The app is an essential element of AAC determinations. ",http://www.for.gov.bc.ca/pscripts/isb/idd/apps_log.asp#MAX,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,LW
SIDECAR,Water Licensing Sidecar - RETIRED,"Water Licensing Sidecar - Created originally by Greg Gale in Omineca/Peace Region, modified by Al Fedoruk. Records additional information from WLIS (WRIS) warehoused data.  As per discussion with Larry Townsend, application no longer is working, i.e. it`s been decommissioned. 

Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Resource Stewardship Division, Water Management Branch, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SII,Satellite Image Information,"SII - Satellite Image Information  Data Set includes layers holding Satellite imagery  metadata represented as polygon layers.
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
SIL,Silviculture Inventory,"[LOB Data] Silviculture Inventory or Results based code SilvicUlture and Land status Tracking System. This Dataset includes all business processes required to receive and process records from forest licensees to record report on Silviculture and Land Status Management activities. To collect this data, the system involves establishing performance targets for harvested areas, surveying areas after harvest to assess achieved performance, and maintaining a ledger to tally target and achieved performance over a large number of cut blocks.

Solution Purpose:
SIL is a set of former Ministry of Forests shared application code that was included in the applications:

CLIENT
ECAS
FREP
FSP
FTA
RESULTS
SPAR
WASTE

These Oracle procedures, functions, and packages were meant as a set of library utilities that were to be independent of the application.
The problem was that since they were scatter through out a series of different applications.
Sometimes certain applications wanted to customize a SIL function to suit its needs.
This led to competing versions of the same procedures and functions.",http://iwww.elp.gov.bc.ca:8000/pls/robread/odwa_fol.go?p_session_id=10818&p_ivid=1304508896678126406084246324621070016,Ministry of Forests,Office of the Chief Forester,"Forest Science, Planning and Practices Branch",N/A,STD
SIMS,Species Inventory Management System,"The Species Inventory Management System (SIMS) is intended to be the single source of British Columbias species inventory field data. SIMS was designed to support the key functions and features required for accurate data collection, storage, management, analysis, access and reporting for all species groups. It will replace several legacy information systems, including SPI/WSI and the Fish Systems.

Eventually, SIMS will replace the following applications: SPI, SIWE, WIOF, FIDQ, FDW, FISS, LSSS, and SLAM.  Phase 1 is to replace SPI. 

SIMS is a collector application that will share information thru BioHub BC. 
Custom built application on OCP4 (OpenShift)/RedHat servers using PostgreSQL, Object Storage, GIT, BCeID Web Service, Red Hat Open Shift, PostGIS , Leaflet, React, Node.js, JSON

https://github.com/bcgov/biohubbc

",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,PAAS
SIR,Southern Interior Region,IMF site for Southern Interior Region,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
SITE,Site Information System,"SITE is internal application Oracle Forms application used by staff to manage data related to possible contamination and remediation of real property in BC. Sites often involve groundwater contamination, site cleanup, complex legal questions, and the management of onsite contaminants. In the past, certain commercial and industrial activities have resulted in spills or deposit of chemicals onto land. At some locations, toxic substances such as PCBs, lead and cadmium, are still present in soil, surface water, and groundwater at levels posing a threat to the environment, human health, and even to the safety of underground services. These types of sites are considered contaminated if they are unsuitable for specific land or water uses.

The public facing counterpart to SITE is ESRA (aka The Site Registry) has been rewritten in OpenShift environment. This rewrite went live Nov. 2, 2022. ESRA information is in Confluence https://apps.nrs.gov.bc.ca/int/confluence/display/ESRA/ESRA+-+Electronic+Site+Registry+Application

ESRA utilises a weekly replicated copy of the SITE data.
",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=a98a17054def4abe9c21183ed064a022,Ministry of Environment and Climate Change Strategy,Environmental Protection,Authorizations and Remediation Branch,Site Remediation Program,STD
SITETOOLS,Site Index Tools,"SiteTools is a user-friendly site index calculator for Windows. It provides access to many site index related functions for 24 tree species in B.C.

https://apps.nrs.gov.bc.ca/int/jira/browse/ITREQUESTS-348",,Ministry of Environment and Climate Change Strategy,N/A,N/A,N/A,STD
SITREP,Situation Report,"This application is no longer in use, retirement pending.
Status re-verified as per BPM - Nov 2019",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
SIWE,Species Inventory Web Explorer,"The Species Inventory Web Explorer is a search engine for the Species Inventory Database (SPI).  The Species Inventory (SPI) Data System is a provincial database that is designed to facilitate the storage and access of inventory results for wildlife species observations. 
You can use the Species Inventory Web Explorer to search SPI for reports and data using the following criteria:  Project Name (including any portion of the project name); Target Taxa (the species the survey is designed to inventory); Species Group (listed by taxonomic order); Ministry of Environment Region.

Solution Purpose: 
To provide access to SPI data. For planning and managing wildlife, and archiving wild life data, and used by; contractors, environmental protection agencies, forest licences, and the conservation data center.

SIWE is hosted on OpenShift and uses ObjectStore (which is causing problems - see SD-88630 but there is no documentation on any of this / the nuances of the resultant support model)",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
SKEEFLOW,SKEENA WIND FLOW IMAGE - RETIRED,"The Skeena Wind Flow project is another JSP page which retrieves data from a database, and 
returns appropriate information to the user. In this case, the JSP creates an image from the 
data it retrieved returns the image file and it draws the wind drift velocity as well as the 
stations that make measurements.  

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Protection, Regional Operations, N/A
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SLAM,Small Lakes Assessment Management,"Dataset not being used - needs to be retired, keeping only for existing data, no interface exists.
A tool used for the entry, storage, analysis and reporting of for standardized index level angler effort and creel data (as well as angler-caught individual fish data). Users are restricted to Ministry and FFSBC staff.
",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=58937&p_ivid=515947357303833544248736523147253253,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,DS
SLDB,Seafood Licensing Database,"Seafood Licensing Database (SLDB) used by Seafood Inspection program (SIP) helps address FTLS deficiencies by enabling the recording/tracking more detailed, operational licensing information (e.g., facility profile information) & risk assessment scores (for risk-based inspection model; enables internal & external reporting (map, lists, Annual Report). 

This application (MS Access database) was developed and is managed by the Seafood Inspection Program. 

April 2024 - SLDB onboarded to NRIDS shared infrastructure. Release 1.0.0 in JIRA. See Confluence for security groups needed to access this application. https://apps.nrs.gov.bc.ca/int/confluence/x/YhI9Cg",,Ministry of Agriculture and Food,"Science, Policy and Inspection Division",Food Safety Inspection Branch,Seafood Inspection Program,STD
SLUP,Strategic Land Use Plans - RETIRED,"[ If this field is blank IRS will crash ]

Historically belonging to: UNKNOWN, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SMARTTOOL 1.0,SmartTool 1.0,"SmartTool 1.0 is a custom ASP.NET / ORACLE application produced and supported by CGI for CAS.

CAS previously existed under MTIC.  Despite CAS having since moved under ENV, MTIC continue to host their application including SmartTool.

Since coming over to ENV and becoming part of NRS/NRM CAS have increasingly looked to SAAS solutions which will see SMARTTOOL 2.0 be implanted as a SOFI hosted solution through GHG Accounting (Vancouver reseller).

Support is provided by ESIT Advanced Solutions, Database & Middleware (ServiceDesk@dxcas.com) to which end a draw down is in place -  iStore/Drawdown #: 815644.  Those approved to use drawdown include:
- Beverley Stainton (CAS)
- Orest Maslany (CAS)
- Stuart Hall (IMB)
- Matt Brandwood (IMB)

It resides on:
PROD - LYNX / CROQUET
TRAIN - LENGTH / FRISBEE
TEST - MASTIFF / BOCCE
DEV - FENNEC / BOCCE

July 2020: SMARTTool application is on retirement path. ESIT / CITZ supported servers/services to be transferred to IIT for decommissioning when appropriate.

October 2020: Transfer to IIT complete. Decommission of HOCKEY and related services complete.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Climate Action Secretariat, CAS Operations, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SMARTTOOL 2.0,SmartTool 2.0 (now renamed CGRT- REFER TO CGRT),"Jun 2021 cm - Stuart Hall and Bus Erik Kaye have stated that SMARTTOOL 2.0 has been renamed to CGRT 
IRS needs to be cleaned up to reflect changes to this Application

****REFER TO CGRT as SMARTTOOL has been replaced***

Historically from: Ministry of Environment and Climate Change Strategy, Climate Action Secretariat, CAS Operations, N/A



Historically belonging to: Ministry of Environment and Climate Change Strategy, Information Innovation and Technology Division, CTO and Delivery Management, Product Transition",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,PAAS
SME,SME - RETIRED,"SME is an IMF extension that allows an IMF to consume a tile cache.
 *updated BPM September 16, 2017 - TL
confirmed retired with the IMF1 - Nicole de greef july 2017

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SNAP,SNAP!,"This COTS application facilitates the collection of field data on mobile devices and connects to the Cengea Resources database. For reporting this application requires MS Excel.

This replaces Survey Wizard",,Ministry of Forests,"Timber, Range and Economics Division",BC Timber Sales Branch,N/A,COTS
SNCSC,Status and Clearance Service Component,The Status and Clearance Service Component provides users with a common tool for reviewing and resolving permit application and permit amendment submissions by licensees. It works by calling a licensee permit application or amendment submission stored in a line of business system and displaying conflicts in the spatial and attribute data. ,https://www.for.gov.bc.ca/ftp/HIS/external/!publish/Web/data-models/sncsc_model/,Ministry of Forests,Integrated Resource Operations Division,Forest Tenures Branch,UNKNOWN,ISSSSVC
SOA,WebLogic SOA,WebLogic SOA (service oriented architecture) related to BPM and other WebLogic components. Not an application in the traditional sense.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
SOE,Spatial Overlay Engine,Spatial overlay engine (SOE) is hosted by DataBC.,,Ministry of Citizens Services,Digital Platforms and Data Division,Data Systems and Services,Data and Services - DataBC,STD
SOFT,Simple Obfuscated File Transfer,"Part of WEBTOOLKIT. Transfers files via the Hypertext Transfer Protocol (HTTP). It uses a blind drop where the user cannot see the files on the server. Random URL is created which is then sent to the user who wishes to receive the file(s).

See
Developers guide: http://www.env.gov.bc.ca/csd/imb/soft/soft_guide.pdf
Sample site: http://www.env.gov.bc.ca/csd/imb/soft/

April 2021: Security is asking people to move to `Secure File Transfer Service.` To use that service they need to request to be put into their O/U`s SFTS group.  That is a request to the BSD helpdesk, and CC Chris Norman. 
Docs: http://filetransfer.gov.bc.ca/docs",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
SOL,Spatial Object Loader,"The application will poll a known location for spatial files, convert them using FME and load them to either DBP01, BCGW or GEOPRD.
additionally contact (check IRS for current Application Manager); 
Homer, Miles for FNIRS; 
Walton, Adrian for BEC
Filonovych, Alex for EDAB
Robins, Will for RANGE
Matt Brandwood for RESPROJ and CEEI",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
SOSS,Sign-Out Security System,"This application will deliver a Sign-Out/Sign-In system (white board) with additional functions for scheduled radio checkin for all MoFR staff that work out of office in the forest (in the woods, off-pavement, on forestry roads).

Not this application is used by multiple business areas (BCTS, BCWF, MOTI and more...basically, anyone that shares office space in rural communities). The app owner is : FLNRO - Regional Operations Division.

SOSS Confluence further information: https://apps.nrs.gov.bc.ca/int/confluence/display/SOSS/SOSS+-+Sign-Out+Security+System

For new SOSS user access requests: contact the Office Admin Clerk of that Regional Office who can set up new SOSS access . 
 ",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=d0cacd257432417193e2266278649c3b,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
SPAR,Seed Planning and Registry System,"This application will manage information for the following business areas:

Tree Seed and Vegetative Lot Registry: entry and maintenance of seed and vegetative lot information and queries. 
Functions such as allocation transactions (reserve and surplus) and inventory adjustments to seed balances are also available.

Requests: seedling requests, direct seed withrdrawls, cone and seed processing, testing, and other services.
Requests are entered through SPAR and downloaded to the Cone and Seed Processing System (CONSEP) at the Tree Seed Centre.
Seedling requests include selection of suitable lots according to the Ministry of Forests seed and vegetative material transfer guidlines.

Reporting:  Reports will be submitted through on-line submission screens and produced through JCRS (Jasper Reports). 

Table Maintenance of the applicable entities on the Oracle database. 

Tendering and nursery assignments for ministry-administered seedling requests for seedling production.

Web map displays data from GeoServer

Mar. 25, 2024 SPARHELP are ROBOHELP files, exist in TEST and PROD only. This application is the Online Help component of SPAR. Help files are deployed outside of the JVM where the Java application resides. Deployed from Jenkins.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=078b2fb7fe174caebfe58478d407f7c9,Ministry of Forests,Office of the Chief Forester,Forest Improvement and Research Management Branch,N/A,STD
SPAR2,Seed Planning and Registry,"New layers added to SPAR done in Openshift.
Specifically Seedlot Registration of Class A Seed.
Users of SPAR will click this link in SPAR and be directed to new form in SPAR2.
Authorization IDIR or Business BCeID.",,Ministry of Forests,Office of the Chief Forester,Forest Improvement and Research Management Branch,Cone and Seed Services,PAAS
SPARSVC,SPAR Services and Job Management for Area of Use Calculations,"SPARSVC never was deployed in production. 
[2:22 PM] Donnelly, Sabina FOR:EX
Note that SPARSVC was only partially put into the SPAR Test environment and was never used.  It did not get loaded into the Production environment.  So it can be removed from the list of applications.

See https://apps.nrs.gov.bc.ca/int/jira/browse/SPARSVC-1?focusedCommentId=205812&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-205812

This application is a distributed component of the SPAR/Seedmap application(s) that process the Seedlot Area of Use Calculations. The Services within this application are responsible for calculating and updating SPAR spatial data and the transfer of that spatial data to the BCGW.. This application is a new Hybrid application and is associated with ` HRPWSV ` ",http://www.for.gov.bc.ca/pscripts/isb/idd/apps_log.asp#MAX,Ministry of Forests,Office of the Chief Forester,Forest Improvement and Research Management Branch,N/A,STD
SPC-FLNR,SharPoint FLNR Collection,This field can NOT be null.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
SPDS,Spill Report Database System,"NOTE:  This is a fox pro application that clearly defines the requirements for incident tracking and managing of Spills.   This is not in production and it will never be.   It is also something that should never be lost and should be recorded (in the ISP with the previous working - and kept in IRS)

****************************************************** A data entry, editing, query and viewing tool for data related to the release of hazardous material into the environment.   Surrey is using the application but not supported by IMB.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Emergency Branch,Environmental Emergency Program,DS
SPI,Species Inventory System,"A system to store wildlife inventory data collected during surveys undertaken to determine the presence or absence; relative abundance or absolute abundance of any wildlife species. This has 3 operational components with 3 data models CWI_SPI_OPD, CWI_SPI_DC, CWI_SPI_TXN. The warehouse model is found in CWI_SPI_OPD
The SPI DC database is designed to capture data and hold it for upload
into the SPI_OPD  operational database.The SPI_DC database is designed to run independently of the SPI_OPD application and has it`s own UI program. CWI_SPI_TXN maintains taxonomy for Species Inventory (SPI), Broad Ecosystem Inventory (BEI) and Detailed Ecosystem Inventory (DEI). CWI is Consolidated Wildlife Inventory

Solution Purpose:
To provide wildlife inventory to decision makers and clients throughout the natural resource sector",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=fbd42473e2a54f41972066ecf5637e9c,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,STD
SPLT,Survey Parcel Link Table,"A link table application that will link survey parcel information from three different databases located at Land Titles Office, BC Assessment Authority and Integrated Registry Branch.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
SPOC,Survey Parcel Ownership Calculator,"Tantalis has a process (SPOC) that currently marks each survey parcel with a flag stating whether the parcel is private or crown.

FIRST POINT OF CONTACT: Business Service Desk",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
